day,calories,protein,carbs,fat
2018-07-01,1517,156,100,56
2018-07-02,1518,164,99,55
2018-07-03,1516,160,96,55
2018-07-04,1516,161,98,51
2018-07-05,1519,159,100,55
2018-07-06,1518,161,102,56
2018-07-07,1520,164,97,53
2018-07-08,210,10,31,5
